element,name,GW,total_points,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,ict_index,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,starts,transfers_in,transfers_out,transfers_balance,selected,value,round,influence,creativity,threat,clearances_blocks_interceptions,recoveries,tackles,position,team,opponent_team,was_home,kickoff_time,fixture,team_h_score,team_a_score
335,Stach,1,13,90,1,0,1,0,0,0,0,0,0,0,3,37,6.6,0.1,0.05,0.15,0.66,1,62141,11012,51129.0,2.2,60.0,1,47.8,2.3,16.0,8,5,3,MID,Leeds,Nott'm Forest,False,2026-08-22T14:00:00Z,4,0.0,1.0
336,Okafor,1,1,24,0,0,0,0,0,0,0,0,0,0,0,10,2.8,0.0,0.16,0.16,0.13,0,1138,7219,-6081.0,0.4,60.0,1,10.0,14.0,4.0,1,2,2,MID,Leeds,Nott'm Forest,False,2026-08-22T14:00:00Z,4,0.0,1.0
337,Aaronson,1,3,81,0,0,1,0,0,0,0,0,0,0,0,16,1.6,0.01,0.01,0.02,0.58,1,2138,6732,-4594.0,0.9,55.0,1,8.0,1.1,7.0,0,6,1,MID,Leeds,Nott'm Forest,False,2026-08-22T14:00:00Z,4,0.0,1.0
338,Ampadu,1,5,90,0,0,1,0,0,0,0,0,0,0,0,18,4.2,0.0,0.04,0.04,0.66,1,3651,7853,-4202.0,1.4,55.0,1,18.6,23.3,0.0,6,5,2,MID,Leeds,Nott'm Forest,False,2026-08-22T14:00:00Z,4,0.0,1.0
339,Longstaff,1,1,8,0,0,0,0,0,0,0,0,0,0,0,3,0.0,0.0,0.0,0.0,0.07,0,503,1383,-880.0,0.1,50.0,1,0.0,0.2,0.0,0,0,0,MID,Leeds,Nott'm Forest,False,2026-08-22T14:00:00Z,4,0.0,1.0
341,Gnonto,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,14,642,-628.0,0.0,50.0,1,0.0,0.0,0.0,0,0,0,MID,Leeds,Nott'm Forest,False,2026-08-22T14:00:00Z,4,0.0,1.0
342,Harrison,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,34,-34.0,0.0,50.0,1,0.0,0.0,0.0,0,0,0,MID,Leeds,Nott'm Forest,False,2026-08-22T14:00:00Z,4,0.0,1.0
343,James,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,689,1483,-794.0,0.1,50.0,1,0.0,0.0,0.0,0,0,0,MID,Leeds,Nott'm Forest,False,2026-08-22T14:00:00Z,4,0.0,1.0
344,Gruev,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,7,120,-113.0,0.0,50.0,1,0.0,0.0,0.0,0,0,0,MID,Leeds,Nott'm Forest,False,2026-08-22T14:00:00Z,4,0.0,1.0
349,Mateo Joseph,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,277,918,-641.0,0.1,45.0,1,0.0,0.0,0.0,0,0,0,FWD,Leeds,Nott'm Forest,False,2026-08-22T14:00:00Z,4,0.0,1.0
385,Trafford,1,9,90,0,0,1,0,0,0,0,0,0,3,2,28,1.9,0.0,0.0,0.0,0.66,1,54337,12147,42190.0,4.2,50.0,1,19.4,0.0,0.0,0,9,0,GK,Leeds,Nott'm Forest,False,2026-08-22T14:00:00Z,4,0.0,1.0
598,Elvedi,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,306,232,74.0,0.0,45.0,1,0.0,0.0,0.0,0,0,0,DEF,Leeds,Nott'm Forest,False,2026-08-22T14:00:00Z,4,0.0,1.0
